Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
51000	97	73	0	0	0	0	0	150440	12	2	0	61682	0	94014	0	146581	7	207414	0	131847	83498
51250	100	75	1	6	0	0	0	141020	4	0	0	59290	0	62590	1	100733	0	227493	0	139312	69857
51500	91	80	0	0	0	0	0	109698	6	0	0	62594	0	60879	0	117162	0	235369	0	147497	82871
51750	92	75	0	2	0	0	0	195104	6	0	0	61775	2	63141	0	144935	8	232487	0	144333	53790
52000	107	71	0	98	90	0	0	238795	92	0	0	62322	92	65273	0	116966	50	199759	0	143175	52735
52250	184	84	0	0	0	0	5	127987	7	218	0	63026	0	75349	68	176904	7	161601	0	145088	50050
52500	95	81	0	4	1	4	4	94970	7	0	0	63622	1	105035	0	116009	28	214539	0	161397	50379
52750	95	78	0	5	13	0	0	126367	4	0	0	64433	15	63187	0	152248	112	193417	0	137957	54313
53000	92	86	0	7	0	0	0	207534	3	0	0	75261	0	65396	0	163231	14	243609	0	155043	53549
53250	75	115	0	0	0	0	0	203294	5	0	0	84404	0	64640	0	180555	0	220823	0	193402	54047
53500	88	85	3	1	0	0	1	138286	5	0	0	65370	0	73549	0	138121	7	199038	0	178485	51132
53750	173	86	0	0	0	0	0	160133	97	0	0	64504	0	73490	0	136618	0	233397	0	147603	51844
54000	103	85	0	115	106	118	0	162070	9	1	0	65646	89	72032	0	180750	1	178118	0	171095	59868
54250	86	101	0	1	0	0	100	111191	7	0	0	68780	0	80024	1	131856	7	174254	1	186045	56249
54500	84	73	1	2	0	0	0	104510	2	0	0	67357	0	168279	0	225685	28	147382	0	144371	57222
54750	82	93	0	10	0	0	1	138201	8	0	0	69840	0	142747	0	227871	7	150374	0	156257	67084
